Singer,Text
BTS,310M Views And 10 Million Likes <U+2764><U+FE0F> A.R.M.Y.S. congratulations for this great achievement.  BTS is undoubtedly the best Group in history
BTS,congratulations army for 10M like <U+060C><U+060C> our next goal < 400M views > .. I'm so proud of them ..
BTS,"Please stre@m : 
Mic Drop - 500M
Fire - 600m
Save me - 400M
DNA - 750M 
Not Today - 400M 
Please ARMY can you help me?!"
BTS,"Congrats BTS and ARMY, we break our own record.

#BTS10MLIKES"
BTS,Yes 10M likes ARMYLEGENDS purple you BTS PURPLE YOU
BTS,"10m likes in just 1 month I so proud of my fam Congrats to all of us we did our best 
now let's do 350m vi3ws fighting Army ( purple heart )"
BTS,"350M!!!
Fighting ARMYYYY
WE CAN because We are perfect!!! JFDKFJDLLJK"
BTS,WE SURPASSED 10M LIKEEEES OMYGOSH CONGRATULATIONS! STRONG POWER THANK YOU
BTS,"I'm one of 10M Lik3s
Congrats BTSxARMY
the first ever MV Kpop Group to reach 10M Lik3s."
BTS,"Youtube deleted 10 Million
This is Cheating
We want our to 10 Million back"
BTS,We got 10M likes! Congrats fam!!!
BTS,"Armys llegamos a los 10M like felicidades por este logro mas sigamos 
310M vamos por los 350M"
BTS,"10M Likes New milestone for us. BTS Deserves everything in the world for their hard work,Now please continue Stre3m1ng and purchasing.Purple You"
BTS,"Wow 10M Armys are ready to kill those haters ,  Amazing power !!!! ."
BTS,"1 hour left !!!
army's do you think we can reach 80m vi3ws in 1 hour??"
BTS,Congratulations BTS for being the first Kpop group to achieve 10M likes! We're so proud! <U+0001F973><U+0001F49C>
BTS,10 M likes in just 1 month & 10 days! BTS holding absolutely record in K-POP history! No one can do like them! So excited! <U+0001F389><U+0001F389><U+0001F389>
BTS,ARMY THIS IS NOT A DRILL!! THIS IS OFFICIALLY THE ONLY KPOP GROUP SONG WITH 1OM LIKES!!!!!
BTS,Finally we do it 10 million like  thank you so much Armys
BTS,"The transitions in this MV are really good, also Jimin and Halsey's vocals are beautiful."
BTS,"10M likes!!!! I feel so happy for my babies 
In fact they deserve 20M but it's okay"
BTS,"10 millions of likes
Congratulation army  <3"
BTS,"---->>>350M Teamwork makes the dream work!, remember to sleep, eat and drink water, you never are doing stre^m alone, fighting! *purple hearts"
BTS,"me before going to school :

listen this song 



400M
Army fighting !!"
BTS,who else got stucked the oh my my my lyrics in their head? or is this just me?
BTS,"Proud of BTS!
Proud of ARMY!
We are wonderful!"
BTS,"Who's else here after BTS The voice performance that's one of the greatest performance they had in America 
I'm so proud of them"
BTS,Congratulations to BTS and they are 10 million I like
BTS,"We got 1.3m in last 2 hrs.
Yes armyyyy, str3am harder."
BTS,"Who else is totally impressed with this whole album? Hit Like.
|
|"
BTS,"10M likes  531K dislikes

Go Army"
BTS,"DNA - 1B
Boy with luv - 500M
Plis ARMY¢¥s repr0."
BTS,"Complete for 10m like 
Next level 15m 
This is possible"
BTS,Congratulations fam on 10M likes <U+0001F49C>
BTS,"Mum: how much do you love bts*?
Me: yes"
BTS,"10 million lik3s on Boy With Luv and 20 million followrrs on Twitter.
Congratulations BTS <U+0001F49C>"
BTS,FIRST ever kpop group to reach 10m likes!!!!......Bts Congratulations
BTS,"BTS has now reached 20M Twitter followers! 
Amazing!"
BTS,"I congratulate myself >.< and then to every Army's out there 
Borahae :'( I'm xo happy"
BTS,This mv should be renamed to Taehyung gone wild
BTS,10M LIKES THIS IS THE POWER OF ARMY
BTS,10M likes congratulations!!!
BTS,"10M likes on YouTube
20M follows on Twitter
Congratulations"
BTS,"Views   310,748,632
Likes     9,997,641
8am  kst  22nd  May"
BTS,"10M L<U+0130>KEEEEE!!!!!!
OMGGGGGGGG
I am Very Happy!!!!!
Congratulations BTS

Congratulations ARMY!!!"
BTS,"Namjoon you are perfect
Seokjin you are perfect
Yoongi you are perfect
Hoseok you  are perfect
Jimin you are perfect
Taehyung you are perfect
Jungkook you are perfect

Bangtan is perfect as long as all 7 remain together"
BTS,Heartfelt Congratulation to BTS 10M likes BWL.
BTS,I hope in the future boy with love gets to 1billion.
BTS,"KEEP STR3AMING ARMYs!
LETS GO FOR 310M TODAY!"
BTS,"BTS never sleeps... We work around the clock, and technology has developed that allows us to collaborate with people around the world. -"
BTS,"Bilboard chart: Week 5

Bilboard 200
Map of soul Persona No 17 last week No 8
Love yourself answer No 81 last week No 85

Bilbard hot 100
Boy with luv No 61 last week No 51

Artist 100
BTS No 1 last week No 3

world album chart
Map of soul persona No 1 last week No 1
Love Yourself: Answer No 2 last week No 2
Love Yourself: Tear No 3 last week No 3
Face Yourself  No 10 last week No 12

Social 50
BTS No 1

Good job ARMY :)"
BTS,"Total like; 9,994,361
10m in 3-4 hours"
BTS,"Vamos ARMY nos estamos quedando de nuevo estancadas
Nosotras podemos vamos por mas 
Los chicos se lo merecen"
BTS,"Fighting Army for str3aming <U+0001F49C>
Ahgase helping you for str3aming <U+0001F49A> 
[GOTBANGATAN]"
BTS,Lets make this 400M before BTS anniv ARMYs deul~ (insert uwu purple heartu)
BTS,"We Are About To Reach To 10M Likes ..
Army Fighting"
BTS,"Are you still str3aming this mv???

Yes = Like"
BTS,give me your number and i¡®ll text you chimmy  :00
BTS,"Congratulation!!!!<U+0001F60D><U+0001F618><U+0001F618>
10M likes already !!! 
I purple you Army"
BTS,"Army , keep supporting the MV, this May 28th we will be able to return to the massiv3 str3m?"
BTS,"the music industry is falling apart

BTS: Hold my beer."
BTS,The reason i wake up every day
BTS,love you BTS from ARMY VIETNAM
BTS,let's go bts for the 500 million views
BTS,"BTS & Army = family

<U+0628><U+064A> <U+062A><U+064A> <U+0627><U+0633> & <U+0623><U+0631><U+0645><U+064A><U+0632> = <U+0639><U+0627><U+0626><U+0644><U+0629>

100M in first 30 hours"
BTS,"10m Like or 310m vi3ws .
400m vi3ws or 11m like we can do ARMY's let's go !!                     
|
|
|

V (:"
BTS,"Jin is getting better and better at dancing. That's the worldwide handsome, keep going! We purple you."
BTS,"Jimin: I¡¯m curious about everything

Armys: that tattoo real or not"
BTS,"Haseley is a lucky gurl to be with bts I wish I was here.... :, ("
BTS,"PEOPLE: What is talent?
Me: BTS."
BTS,How many armys are $tr*-ming right now
BTS,"I don¡¯t really listen to Kpop but damn, this is a bop!"
BTS,"Ya!  Str3@m EPIPHANY by Jin after this, its anniversary is today... love the 7 members equally"
BTS,LILLYTISHA!
BTS,We have this music in french radios <U+0001F1EB><U+0001F1F7><U+0001F1EB><U+0001F1F7>
BTS,"Vamos armys, hay que llegar mas rapido a los 400M de v*stas y 10M de likes, no hay que hacerlo por competencia sino por el amor que le tenemos a estos 7 chicos maravillosos, fighting^.^!!!"
BTS,ARMY's my birthday is on 25th May and my wish is that Boy with love reaches 350M viw3es or more till my birthday.Can you do this?
BTS,9k likes to 10 million come on army we can do this
BTS,"Jimin: Oh text me.
Me:...
Me: What's your number boo?"
BTS,"Kim Namjoon¢½
Kim SeokJin¢½
Min Yoongi¢½
Jung Hoseok¢½
Park Jimin¢½
Kim Taeyhung¢½
Jeon Jungkook¢½
¢½I LOVE YOU BTS¢½"
BTS,"Bighit staff: How much happiness you would  like to put in here?

BTS: yes"
BTS,"How many ARMYs still str3am!ng BOY WITH LUV?
1 like = 1 ARMY"
BTS,"<U+064A><U+0648><U+062A><U+064A><U+0648><U+0628> <U+0644><U+0646> <U+062A><U+0647><U+0632><U+0645><U+0646><U+0627> <U+0627><U+0628><U+062F><U+0627>
<U+0627><U+0644><U+0627><U+0631><U+0645><U+064A> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A> <U+064A><U+062D><U+0628> <U+0628><U+0627><U+0646><U+0642><U+062A><U+0627><U+0646> <U+0648> <U+0633><U+0648><U+0641> <U+064A><U+062F><U+0639><U+0645><U+0647><U+0645> <U+0644><U+0644><U+0627><U+0628><U+062F>
<U+0646><U+062A><U+0645><U+0646><U+0649> <U+062A><U+062D><U+0633><U+0648> <U+0628><U+0648><U+062C><U+0648><U+062F><U+0646><U+0627>  <U+0641><U+0627><U+064A><U+062A><U+064A><U+0646><U+063A> 
BTS : YOU GOT ME HIGH SO FAST
YOUTUBE : -13 M
ARMY : NO NO NOT TODAY"
BTS,"This feeling now the money can't buy it (emotion crying , purple heart)"
BTS,10m de lik¢æs felicidades @rmys
BTS,"KEEP GOING ARMY LET'S REACH 100M 
TIME IS RUNNING FAST !!"
BTS,"Debemos incrementar las cifras, ARMY. 
We are slowing down."
BTS,Army's what are you all doing ??? Str44m is important so please str66m harder
BTS,320M now lets go Army-legends <U+0001F49C>
BTS,"BTS 

Kim namjoon RM
Kim seokjin JIN
Min Yoongi SUGA
Jung ho seok J HOPE
Park jimin JIMIN
Kim taehyung V
Jeon jungkook JUNGKOOK"
BTS,YT is scared of this masterpiece my Boys keeps slaying proud of you
BTS,"310? Done
320? Loading
330? Loading
340? Loading
350? Loading
FIGHTING ARMY!!"
BTS,"ya que es especial para mi.....
like si a ti tambiem....
1 boy with luv
2 idol
3 dna
4 2u del jungkookie
5 euphoria etc....."
BTS,"Like = Boy With Luv
Comment  = Other song of BTS"
BTS,"I m here from the very first day.
I will be here for the rest of my life ."
BTS,100 M in less than 40 hrs!!! We did that y¡¯all !!! (Insert clapping emoji & 100 Purple Hearts)
BTS,"530k disliked?

Haters gonna hate 
Players gonna play
ARMY gonna str3am 
Good luck~!"
BTS,"10M Likes ! I can't believe, first Kpop group do it"
BTS,Who still waiting for Jin to give ARMY his number?
BTS,"army we can do it, imagine their faces when they find out we got them 100m in 24 hours *purple heart"
BTS,"2017: Steve Aoki
2018: Nicki minaj
2019:Halsey
2020:?"
BTS,10M likes. Yikesssssss congrats to  BANGTAN AND ARMYs big purple hearts
BTS,"10M LIKE, I'M DONE WITH YOU GUYS. clap clap"
BTS,10M likes <3 <3 :-) Congrats Fam .. Lots of  memorable moments happening Today.. Keep Slayin our Kings.. BTSxARMY LEGEND
BTS,"when i say 1st MV by a korean group to reach 10M likes, you say??"
BTS,OMG 10M LIKES!!! THANKS ARMY AND THE OTHER FOR LIKES <U+0001F60D> KEEP GOING BTS LOVE YOU
BTS,10M I'm crying. CONGRATS BTS ARMY
BTS,"10M likes congratulation bts and bighit  
KEEP str3aming army"
BTS,400mvi3ws before 6th anniversary of our boys(june 13) can we do it?
BTS,"# ARMY WITH BTS
#PLZ FORGIVE BTS FROM MILITARY SERVICE
#BE WILL BTS
#FORGIVE BTS
#WE NEED OUR BOYS"
BTS,"We need more 5 mil likes to break record in korean most liked mv
Fighting"
BTS,Congrats ARMYS for 10Mil likes  we've done well but we should not stop here let's make it the most liked Korean MV of all time
BTS,"Boy With Luv get 10M likes
Fake Love, DNA and Idol are coming.
------------->"
BTS,"Not only this is the first song to ever reach 10 m in kpop history but is is the fastest and only song to do so.
BTS paved the way."
BTS,"DNA 1B!
Fake Love 700M!
Fire 675M!
Mic Drop 600M !
Idol 575M!
Dope 550M!
Blood sweat and tears 550M !
Boy with luv 550M!
Save me 500M!
Not today 450M!
Boy in luv 350M!
Spring day 325M!
Fighting Army !!!!! By 2020!"
BTS,"All top 5 in weekly chart top songs are BTS songs.
BTS is kpop
Kpop is BTS"
BTS,"Everyone is talking about 10m likes. The first group to receive this, but we should remember BTS is the first kpop group to get nominated for Grammy. 
I love my boys. I love our army. Fighting"
BTS,"Hey army's let's go to 320m today...
Are you ready?? <U+0001F495>"
BTS,"Our vi3ws increased so fast along with likes
10M likes
BTS is kpop"
BTS,"With 10m likes, bts earned an other name-
GOD GROUP OF KPOP"
BTS,"BTS now reached 20M followers in TWITTER.
BTS is kpop"
BTS,"¡°Boy With Luv¡± MV has surpassed 10,000,000 likes on youtube. It¡¯s the first kpop group MV to achieve this mark! BTS MAKES HISTORY<U+0001F44F>"
BTS,"BILLBOARD HOT 100:
Boy with luv
Debut: #8
Week 2: #40 (-32)
Week 3: #40 (=)
Week 4: #51 (-11)
Week 5: #61 (-10)

Billboard 200:
Map Of The Soul: persona
Debut: #1
Week 2: #3 (-2)
Week 3: #7 (-4)
Week 4: #8 (-1)
Week 5: #17 (-9)

please continue st/reaming BWL especially US ARMYS, and if u can, keep buying it on itunes too. Let's stay for more months in Hot100 and BB200

Longevity + Consistency

Keep promoting BTS kindly to locals on all SNS. 

Never forget to LIKE all bts music videos, teasers, cb trailers, solo MVs and their dance practice videos.

Keep engaging on all BTS social media accounts (twitter fb,ig,yt,etc)

Mic drop is close to 500M v/iews
Daydream and No More dream is close to 100M vi/ews
Epiphany,Euphoria and Persona cb trailers is close to 50M v/iews

Fake Love, Dna and Idol is almost 10M likes."
BTS,The BTS is legendary pop band ever in the world.
BTS,"10 MILLONES LIKES!!  UN GRAN LOGRO 
FELICIDADES MIS CHICOS  NO CUALQUIERA LOGRA ESTO 
DIOS MIO QUE IMPACTO!"
BTS,10M LIKES .. CONGRATULATIONS TO BTS AND ARMY .. CLAP ! CLAP ! CLAP !
BTS,"BTS is now officially entered TOP 20 most liked videos in UTUBE HISTORY.
BTS paved the way."
BTS,"ANNOUNCEMENT, FAM!
      WE ARE GOING TO HAVE STR3AMING PARTY ON MAY 23, 7PM KST FOR BWL AND DNA."
BTS,"My List of $tr3@m¢®Ng 
Fancy
Bwl
YOY
DNA
Repeat

ArmyOnce here! <3"
BTS,Boy With Luv 400 Jt Viewers Let's Go Army
BTS,"The first K-pop group to get 10M likes.
That is so amazing! I'm so proud"
BTS,"The power of ARMY is so amazing. Good job, ARMY."
BTS,"0.001%
will notice this comment...

Like if you notice"
BTS,"Bangtan esta rompiendo todo, gente. 
Hasta los huevos que no tengo."
BTS,"10m likes 
BTS IS THE GOD GROUP OF kPOP"
BTS,"congrats BWL for 10 M likes, we're going so fast armyyy"
BTS,400mvi3ws before 6th anniversary of our boys(june 13) can we do it?
BTS,"love is nothing stronger than ARMY with luv 
congratulations BTS and ARMY 10M LIK¢æ"
BTS,10M like!!!! OMG ARMY we did it!!!! Haters gonna hate but ARMY gonna love BTS.
BTS,Now boy with luv has officially 10m likes. Good job Army!!
BTS,"Guys let¡¯s hit 320M 
Tomorrow my last exam and i will start str@m so let¡¯s do party"
BTS,"10,000,579.
CONGRATULATIONS LEGENDS FAM.
BTS FIRST KPOP GROUP WHO REACHED 10M LIKES ON UTUBE."
BTS,Happy 10M Likes! I bet those haters r getting sick <U+0001F61B>
BTS,"Kim Namjoon
Kim Seok Jin
Min Yoongi
Jung Hoseok 
Park Jimin 
Kim Taehyung
Jeon Jungkook 
BTS!!!!!"
BTS,"Soon -> 200M!!
Hwo still here before 200M??
1 like= 1 person(a)"
BTS,"25M : ok 
50M : ok
100M :ok 

BTS & ARMYS ! We can do it Together 

Hwaiting !"
BTS,"Boy With Luv, DNA
BTS EVERYDAY!"
BTS,"Come on armyy
Lets create history by getting this MV 10m LIKES
FIGHTING!!!"
BTS,"HALSEY WAS SOO GREAT!!
moves?nailed it
looks?beautiful 
you go girl!!!"
BTS,Muchas felicidades a BTS!! Ya son 10M de l1kes <3
BTS,"First k pop group  to hit 10M like on youtube. 
Keep growing &  keep supporting  bts videos. 
Luv u army &  bts. <U+0001F60D>"
BTS,"How many ARMY here to make this Mv 400m ?
 |
\/"
BTS,"Visuals?: Checked.
Vocals?: Ticked.
Rapping: Fire.
Presence?: Marked.
Idol?: Worthy.
Hotel?: Trivago"
BTS,"Army st43@m DNA , Idol, mic drop , fake love ,  fire , boy with luv, crown 

ARMY FIGHTING ......!!!!"
BTS,"Bighit: How deep will you make your voice?

Yoongi: Yes"
BTS,"Me encanta, me fascina leer tantos comentarios en espanol, me siento tan identificado

V A M O S    A R M Y S    L A T I N X S"
BTS,"Last hour we got 106k
Lets back to +120k, please"
BTS,"How many army str3am after 198M! Army we just 4 hours to break record!!

1 like 1 person"
BTS,"700M by the end of the yearrr ??? , armysss FIGHTINGG ! , insert purple heart"
BTS,"April 2019 : A really amazing music!
May 2019 : A really amazing music!

Ps. I'm surely gonna edit this every month."
BTS,"How many people was ready to 200m??
1like=1ARMY/people"
BTS,"KIM NAM JOON
KIM SEOK JIN
MIN YOONGI
JUNG HOSEOK
PARK JIMIN
KIM TAEHYUNG 
JEON JUNGKOOK
BOY WITH LUV! 
FIGHTING ARMY"
BTS,"Just in case any of you forgot..
<U+1D35> <U+1D56><U+1D58><U+02B3><U+1D56><U+02E1><U+1D49> <U+02B8><U+1D52><U+1D58>

Pass it on"
BTS,"Wow, 10M likes!! 
Congrats BTS & ARMY!!"
BTS,10m likes congratulations armys
BTS,"11M likes coming XD 
Keep str3aming ARMYLEGENDS"
BTS,"Omg, I'm in love with this song! I can listen to all day!<U+0001F60D>"
BTS,"10 million like <U+0001F49C><U+0001F49C><U+0001F49C><U+0001F49C><U+0001F49C>
Army fighting 
Ups lets stream boy with luv <U+0001F499><U+0001F499><U+0001F499>
Love from Pakistan <U+0001F49C><U+0001F49C>"
BTS,"10M likes, yeahh!!! Congratulations BTS & ARMY ^^"
BTS,"How can this night look this beautiful. Not because of those starts or light. It 's because of BTS 
--- Mikrokosmos--"
BTS,"Congrats on 10M likes<U+2764><U+FE0F> 
Army keep going<U+0001F64C><U+0001F3FC>"
BTS,"Boy With Luv  - 350M
IDOL - 500 M
Fake Love - 550M
DNA - 750M
BS&T - 500M
Mic Drop - 500M
Not Today - 400M
Save Me - 400M
Dope - 500M
Fire - 600M
Spring Day - 300M
Ok Army <U+0001F44C><U+0001F60A>"
BTS,"Who loves bts more than anything else
Yes i do.
Army forever"
BTS,Fist Kpop group 10M like congratulations Kpop group bts I love you oppa
BTS,"THEY ARE SO GOOD WHY!!!!!!




Because they are BTS"
BTS,We made another record first kpop group to reach 10m likes yayy :)
BTS,Oyyyyyy congratulations ARMY for 10M like we will broke the record of psy soon am I wrong??
BTS,"Army ya subieron la preformance de bts en the voice en la final, vamos a hacer str3@m y darle L!k3, esta recibiendo muy buenos comentarios, pero recordemos que los heters tambien trabajan..."
BTS,First time 10m like. I'm crying. We worked so hard for this. Arny congrats.
BTS,"Finished to eat lunch. Going back to str3@ming, @rmy'$"
BTS,"10M likes strong power thank you
Lets get dna to 800m and bwl 400m


We got 5m vi3ws in one day so lets str3*m both 
Fighting"
BTS,"Congratulations on 10M likes, BTS and ARMY!"
BTS,532k dislike<U+0001F612>??I dont think so But atleast thank u for 532k views<U+0001F601>
Lil,"Wich Song is better?

Old Town Road: Like

Despacito: Comment"
Lil,Two completely different genres of music never sounded so good together
Lil,I love how he looks dead into the camera and says ¡°WrAngLeR oN my BoOty¡±
Lil,So we are not going to talk about Chris Rock Boogidy boogdigy <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F62B>
Lil,"I love how Lil Nas X put his whole experience in this video 

Lil Nas X last time I came around here they weren't too welcoming.
Billy Ray Cyrus Well you're with me now."
Lil,"Most artists: (Official Video)

Lil Nas X: (Official Movie)"
Lil,"Billboard: this ain't country enough

Billy Ray Cyrus: hold my tractors"
Lil,"Spotify:  This isn¡¯t country!

Billy Ray Cyrus:  Hold my Geetar"
Lil,Waiting for the Old Town Road Netflix Original
Lil,"Cowboys: Rap or Country music?

Lil Nas X: Yes"
Lil,"2017- Who¡¯s Billy Ray Cyrus??
Miley Cyrus¡¯s Dad

2019- Who¡¯s Miley Cyrus
Billy Ray Cyrus¡¯s Daughter"
Lil,"Reporter: Lil Nas what's the best thing u have ever done 
Lil Nas: cheated on my baby, u can go and ask her"
Lil,"This is probably obvious but anyone else think the ¡°Last time I was here they weren¡¯t to welcoming to outsiders¡±
¡°It¡¯s ok you¡¯re with me now¡± exchange 
Is a reference to the Billboards?"
Lil,"People: How many more videos related to Old Town Road will you make?
Lil Nas X:  y    e    s"
Lil,"This is the first time in years that a music video actually made me smile bc <U+2014>> fun/effort <U+0001F4AF> good job, y¡¯all"
Lil,"No naked girls
No expensive jewelry
No drugs
Just dope music!!!"
Lil,I mean I hate everything about my generation except for THIS masterpiece.
Lil,"People: It¡¯S nOt CoUnTrY eNoUgH

Billy Ray: HOLD MY WISKEY"
Lil,Idk if y¡¯all peeped but the beginning was bill board not welcoming him and blasting him tf away <U+0001F62D>
Lil,"Freind: Can a borrow your car ?
Me: A don't have car,
Freind: Sooo, what you got ?
Me: A got the horses in the back
Freind: <U+0001F60E><U+0001F60E><U+0001F60E>"
Lil,Honestly he looks like he¡¯s just having a good time and I¡¯m here for it
Lil,"Lil Nas X: last time I was here, they weren't too welcoming to outsiders

Billy Ray: don't worry your with me this time








Is this supposed to be a reference to how he got put off the billboards but then put back on??"
Lil,Proud of you dude! Opposition will attempt to discourage you but i implore you to keep WINNING!
Lil,Year 2021: Lil Nas X - Old Town Road (Official Movie in The MOON) ft. Billy Ray Cyrus
Lil,"Old Town Road = curte
Vai rebola pro pai = comenta
qual voces acham melhor?"
Lil,By this point old town roads is a cinematic universe.
Lil,"Which one would u choose?

Old town road: Like 

XXXTENTACION : Comment"
Lil,"You cheated tho, That Horse got like a v12.. I just Hollared OUT LOUD. Thank you for this Video and this track my dude. Keep pushing."
Lil,I think when Lil Nas X said  last time I was here they weren't too welcoming of outsiders  he was talking about the billboards taking him off the charts
Lil,"Lil Nas X:  pushes horse to limit

Horse:  gets exhausted and dies"
Lil,"Doctor Strange has looked forward in time and seen 14,000,605 different versions of Old Town Road. This is the only one where we defeat Billboard."
Lil,Such a meme song but it's lit af
Lil,love this from france ;p i'm a compositor and just need a chance who got 1 minute to listen ?
Lil,"How do u feel for this song?
Me: Happy"
Lil,"This video gets strong support from YouTube when all the world shows how you explain it

F  my life <U+0001F611>from Iraq <U+0001F1EE><U+0001F1F6>"
Lil,u already know this will be a big part of youtube rewind 2019...
Lil,When you're from Texas and visit your cousins up North! <U+0001F602>
Lil,IM CRYING- THE DRINK SAYS ¡°YEE YEE JUICE¡± 3:39 <U+0001F602><U+0001F602><U+0001F602> God I love 2019 <U+0001F920><U+2764><U+FE0F>
Lil,Who else has watched this over again 6 bloody times
Lil,"2017: rap and country music can¡¯t make a good song

2019 Lil Nas X: hold my horse"
Lil,"Most artists: (Official video)

Lil Nas X: (Official Movie)"
Lil,"Billboard: Not country enough


Billy Ray Cyrus: Watch my horse"
Lil,"Anybody know what is better?
Old Town Road-Like
Rap God-Reply"
Lil,"Faster than speed of a bullet with grease on it, ...hair grease<U+0001F602><U+0001F602><U+0001F602>"
Lil,This song just gives me an urge of happpiness no Matta what
Lil,"He protec
He atacc
But most of all
He made 9 versions of this tracc"
Lil,"Thank you, Billboard, for making a racially-charged decision that made all of us pay attention to this gift of a song."
Lil,1:00 - I love the similitude in the conversation between Billy Rey Cyrus and Lil Nas X to the billboard controversy.
Lil,I already watched this 13 times in one day already I can¡¯t get tired of it
Lil,damn Lil Nas X went from being small Youtuber to making songs with Billy Ray Cyrus
Lil,"Producer:how many videos of Old town road should we release


Lil nas X: Till I can't no More"
Lil,"E tipo sertanejo e funk no brazil e impossivel nao bombar !!

Its like sertanejo and funk in brazil its impossivel not to be hit !!"
Lil,"country music : Dying<U+26B0><U+FE0F>
Lil Nas & Billy : Im about to save this mans whole career <U+0001F920>"
Lil,"Ativando modo respiracao manual 
Em 3...2...1!!! <U+0001F923>"
Lil,This dude seems so happy and enthusiastic to be where he¡¯s at I can¡¯t help but love it
Lil,"How often should we upload the same song?



Lil nas x: yes"
Lil,Lil nas definitely a cowboy and billy Ray Cyrus ? Well he¡¯s just billy Ray Cyrus <U+0001F47D>
Lil,old town road all the way 100 percent like if you agree.
Lil,This is where Quentin Tarentino puts chris rock  in DJANGO unchained 2
Lil,This song is now known as first place in history of music
Lil,why was I smiling like a fool throughout this video.
Lil,Billy Ray Cyrus strums his guitar yet no sound comes from it <U+0001F914>
Lil,despacito <U+0001F92E>  noway...Old Town Road is better like if you think the same
Lil,"Me:how many more remixes

Billy nas:till I can¡¯t no more"
Lil,this man proofed that you can get famous with only 1 song. Good job bro! I think all of us want an PodCast!
Lil,Smart move with the comedy angle.  Didn¡¯t expect it and loved it.
Lil,"Best music video of 2019, fight me"
Lil,"1000 Vies In 10 Minutes I Think Not

50Million Views In 4 Days I Think So"
Lil,Boy stop flaber gactin<U+0001F602><U+0001F923><U+0001F62D><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F605>
Lil,I searched up Hamburger meme and it said this was related<U+0001F914><U+0001F914>
Lil,You know this is gonna be good when someone says ¡°Boss I¡¯m flabbergasted!¡±
Lil,"No-one:
Any normal artist: Official Video
Lol Nas X: Official Movie"
Lil,"2019: old town road 


2011: old dirt road



Who remembers that song?"
Lil,"What song is better 

El Chivo: like 

Old town road: comment"
Lil,"LET ME KNOW WHO ARE GUYS COME HERE DAILY TO LISTEN THIS SONG
  <U+2B07>
  <U+2B07>"
Lil,the Production value just called me broke and laughed
Lil,"Which song is better (2)

Like despacito 

Comment old town road"
Lil,Can we juss talk a moment to appreciate how fine Lil Nas X is<U+203C><U+FE0F><U+0001F975>
Lil,"Congratulations Lil Nas X, appreciate this video, the music, the collaboration. Billy Ray... you're a Don for this this is a staple in our history"
Lil,"Haha is so funny,I love to hear him talk.."
Lil,¡°When you see a black man on horse goin that fast you just gotta let him fly¡± <U+0001F62D><U+0001F62D><U+0001F62D>
Lil,"Producer: How many Old Town Road videos do you want?
Lil Nas X: Yes"
Lil,"Which Song is better?

Old Town Road: Like

Despacito: Comment"
Lil,"Everyone: You can¡¯t have rap and country!
Lil Nas X: Hold my lasso"
Lil,"you have a good day, get off my car that dude really gon be that different"
Lil,The most professional unprofessional music video I ever seen in my yee haw life
Lil,Song beats like my daddy. None of em swear words either.
Lil,1:32 when I first heard this song
Lil,YEEE HAW HAW YEE THANK GOD ITS OUT <U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB>
Lil,the beginning is lowkey ASMR
Lil,Next: old town road a Netflix original series
Lil,I love that he incorporated the tiktok trend of yeehaw juice and the hand movements! <U+0001F606><U+0001F606>
